排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
783,食品质量与安全,本科,食品科学与工程类,开设院校,9370,ESFJ/ESTP,研究型
784,交通运输,本科,交通运输类,开设院校,9334,ISTJ/ISTP/INTP,
785,康复治疗技术,专科（高职）,康复治疗类,开设院校,9326,ESTJ/ISFJ,研究型
786,测控技术与仪器,本科,仪器类,开设院校,9317,ISTP,
787,警卫学,本科,公安学类,开设院校,9286,ESTP/ISFJ,现实型
788,国际政治,本科,政治学类,开设院校,9272,ISFJ/INTJ/ENTJ,社会型
789,制药工程,本科,化工与制药类,开设院校,9194,INTJ,研究型
790,医学影像技术,专科（高职）,医学技术类,开设院校,9153,ESFJ/ISFJ,研究型
791,船舶工程技术,专科（高职）,船舶与海洋工程装备类,开设院校,9027,ISTJ/ISTP,现实型、管理型
792,港口与航运管理,专科（高职）,水上运输类,开设院校,8874,ESFJ,管理型
793,水利水电工程,本科,水利类,开设院校,8865,ESFJ/ISTJ,现实型
794,市场营销,专科（高职）,市场营销类,开设院校,8843,ESFP/ESTP,艺术型
795,书法学,本科,美术学类,开设院校,8840,INTJ/INFP,艺术型
796,飞行器动力工程,本科,航空航天类,开设院校,8833,ISTP/INTP,
797,金属材料工程,本科,材料类,开设院校,8786,ISTP/INTJ,
798,烹饪与营养教育,本科,食品科学与工程类,开设院校,8751,ESFJ/ESTP,研究型
799,监狱学,本科,法学类,开设院校,8726,INTJ/ESTP,社会型
800,舞蹈表演,专科（高职）,表演艺术类,开设院校,8722,INTJ/INFP/ENFP,艺术型
801,药学,专科（高职）,药学类,开设院校,8692,INTJ/ISFJ,研究型
802,戏剧影视美术设计,本科,戏剧与影视学类,开设院校,8644,ENFP/ESFP,艺术型
803,宝石及材料工艺学,本科,材料类,开设院校,8619,ISTP/INTJ,
804,教育学,本科,教育学类,开设院校,8484,ENFP/ENFJ,社会型
805,放射医学,本科,临床医学类,开设院校,8470,INTJ/ISFJ/ESFJ,研究型
806,数理基础科学,本科,数学类,开设院校,8439,INTJ,研究型
807,材料成型及控制工程,本科,机械类,开设院校,8438,ISTP,
808,罪犯心理测量与矫正技术,专科（高职）,司法技术类,开设院校,8413,ESTP/INTJ,现实型、社会型
